rosbagTimestamp,layout,dim,data_offset,data
1608810897621803051,,[],0,"[0, 0, 0, 0]"
1608810897621855753,,[],0,"[0, 0, 0, 0]"
1608810897621906789,,[],0,"[0, 0, 0, 0]"
1608810897621925602,,[],0,"[0, 0, 0, 0]"
1608810897621947394,,[],0,"[0, 0, 0, 0]"
1608810897622014883,,[],0,"[0, 0, 0, 0]"
1608810897686057105,,[],0,"[0, 0, 0, 0]"
1608810897686062618,,[],0,"[0, 0, 0, 0]"
1608810897686068076,,[],0,"[0, 0, 0, 0]"
1608810897686071140,,[],0,"[0, 0, 0, 0]"
1608810897686074311,,[],0,"[0, 0, 0, 0]"
1608810897686179868,,[],0,"[0, 0, 0, 0]"
1608810897686190966,,[],0,"[0, 0, 0, 0]"
1608810897730572717,,[],0,"[0, 0, 0, 0]"
1608810897730600583,,[],0,"[0, 0, 0, 0]"
1608810897730644505,,[],0,"[0, 0, 0, 0]"
1608810897755444277,,[],0,"[0, 0, 0, 0]"
1608810897755498212,,[],0,"[0, 0, 0, 0]"
1608810897776216447,,[],0,"[0, 0, 0, 0]"
1608810897804102410,,[],0,"[0, 0, 0, 0]"
1608810897866296920,,[],0,"[0, 0, 0, 0]"
1608810897866443442,,[],0,"[0, 0, 0, 0]"
1608810897899119418,,[],0,"[0, 0, 0, 0]"
1608810897899139444,,[],0,"[0, 0, 0, 0]"
1608810897899358350,,[],0,"[0, 0, 0, 0]"
1608810897925613905,,[],0,"[0, 0, 0, 0]"
1608810897925626977,,[],0,"[0, 0, 0, 0]"
1608810897956161853,,[],0,"[0, 0, 0, 0]"
1608810897986117824,,[],0,"[0, 0, 0, 0]"
1608810898012981849,,[],0,"[0, 0, 0, 0]"
1608810898012998828,,[],0,"[0, 0, 0, 0]"
1608810898031633035,,[],0,"[0, 0, 0, 0]"
1608810898045805446,,[],0,"[0, 0, 0, 0]"
1608810898060691931,,[],0,"[0, 0, 0, 0]"
1608810898076506342,,[],0,"[0, 0, 0, 0]"
1608810898109340807,,[],0,"[0, 0, 0, 0]"
1608810898129336860,,[],0,"[0, 0, 0, 0]"
1608810898152702988,,[],0,"[0, 0, 0, 0]"
1608810898174913356,,[],0,"[0, 0, 0, 0]"
1608810898198910618,,[],0,"[0, 0, 0, 0]"
1608810898224964949,,[],0,"[0, 0, 0, 0]"
1608810898246138870,,[],0,"[0, 0, 0, 0]"
1608810898246193883,,[],0,"[0, 0, 0, 0]"
1608810898268698378,,[],0,"[0, 0, 0, 0]"
1608810898293026417,,[],0,"[0, 0, 0, 0]"
1608810898319911950,,[],0,"[0, 0, 0, 0]"
1608810898319936384,,[],0,"[0, 0, 0, 0]"
1608810898342192903,,[],0,"[0, 0, 0, 0]"
1608810898361523322,,[],0,"[0, 0, 0, 0]"
1608810898385941715,,[],0,"[0, 0, 0, 0]"
1608810898422974435,,[],0,"[0, 0, 0, 0]"
1608810898446042500,,[],0,"[0, 0, 0, 0]"
1608810898446128388,,[],0,"[0, 0, 0, 0]"
