rosbagTimestamp,data
1608810897694729649,"""[ 0xaa 0x55 0x06 0x01 0x04 0x00 0x00 0x00 0x00 0x03 ]"""
1608810897694820352,"""[ 0xaa 0x55 0x03 0x0e 0x01 0x00 0x0c ]"""
1608810897694832196,"""[ 0xaa 0x55 0x06 0x01 0x04 0x00 0x00 0x00 0x00 0x03 ]"""
1608810897694857395,"""[ 0xaa 0x55 0x03 0x0e 0x01 0x00 0x0c ]"""
1608810897716443730,"""[ 0xaa 0x55 0x06 0x01 0x04 0x00 0x00 0x00 0x00 0x03 ]"""
1608810897716454073,"""[ 0xaa 0x55 0x03 0x0e 0x01 0x00 0x0c ]"""
1608810897746820420,"""[ 0xaa 0x55 0x06 0x01 0x04 0x00 0x00 0x00 0x00 0x03 ]"""
1608810897746846104,"""[ 0xaa 0x55 0x03 0x0e 0x01 0x00 0x0c ]"""
1608810897764756764,"""[ 0xaa 0x55 0x06 0x01 0x04 0x00 0x00 0x00 0x00 0x03 ]"""
1608810897764949662,"""[ 0xaa 0x55 0x03 0x0e 0x01 0x00 0x0c ]"""
1608810897787661183,"""[ 0xaa 0x55 0x06 0x01 0x04 0x00 0x00 0x00 0x00 0x03 ]"""
1608810897787671504,"""[ 0xaa 0x55 0x03 0x0e 0x01 0x00 0x0c ]"""
1608810897804715733,"""[ 0xaa 0x55 0x06 0x01 0x04 0x00 0x00 0x00 0x00 0x03 ]"""
1608810897804731955,"""[ 0xaa 0x55 0x03 0x0e 0x01 0x00 0x0c ]"""
1608810897830467429,"""[ 0xaa 0x55 0x06 0x01 0x04 0x00 0x00 0x00 0x00 0x03 ]"""
1608810897830482613,"""[ 0xaa 0x55 0x03 0x0e 0x01 0x00 0x0c ]"""
1608810897830580038,"""[ 0xaa 0x55 0x06 0x01 0x04 0x00 0x00 0x00 0x00 0x03 ]"""
1608810897830585902,"""[ 0xaa 0x55 0x03 0x0e 0x01 0x00 0x0c ]"""
1608810897851919421,"""[ 0xaa 0x55 0x06 0x01 0x04 0x00 0x00 0x00 0x00 0x03 ]"""
1608810897868932013,"""[ 0xaa 0x55 0x03 0x0e 0x01 0x00 0x0c ]"""
1608810897897999872,"""[ 0xaa 0x55 0x06 0x01 0x04 0x00 0x00 0x00 0x00 0x03 ]"""
1608810897898038130,"""[ 0xaa 0x55 0x03 0x0e 0x01 0x00 0x0c ]"""
1608810897929292829,"""[ 0xaa 0x55 0x06 0x01 0x04 0x00 0x00 0x00 0x00 0x03 ]"""
1608810897929315347,"""[ 0xaa 0x55 0x03 0x0e 0x01 0x00 0x0c ]"""
1608810897929321762,"""[ 0xaa 0x55 0x06 0x01 0x04 0x00 0x00 0x00 0x00 0x03 ]"""
1608810897929335184,"""[ 0xaa 0x55 0x03 0x0e 0x01 0x00 0x0c ]"""
1608810897947682161,"""[ 0xaa 0x55 0x06 0x01 0x04 0x00 0x00 0x00 0x00 0x03 ]"""
1608810897947718546,"""[ 0xaa 0x55 0x03 0x0e 0x01 0x00 0x0c ]"""
1608810897947744378,"""[ 0xaa 0x55 0x06 0x01 0x04 0x00 0x00 0x00 0x00 0x03 ]"""
1608810897947772836,"""[ 0xaa 0x55 0x03 0x0e 0x01 0x00 0x0c ]"""
1608810897971066808,"""[ 0xaa 0x55 0x06 0x01 0x04 0x00 0x00 0x00 0x00 0x03 ]"""
1608810897971084708,"""[ 0xaa 0x55 0x03 0x0e 0x01 0x00 0x0c ]"""
1608810897997010456,"""[ 0xaa 0x55 0x06 0x01 0x04 0x00 0x00 0x00 0x00 0x03 ]"""
1608810897997041702,"""[ 0xaa 0x55 0x03 0x0e 0x01 0x00 0x0c ]"""
1608810898018435110,"""[ 0xaa 0x55 0x06 0x01 0x04 0x00 0x00 0x00 0x00 0x03 ]"""
1608810898018475021,"""[ 0xaa 0x55 0x03 0x0e 0x01 0x00 0x0c ]"""
